S=C=A=N: Fri Feb 12 15:48:17 2016: Collect start
/lrz/sys/intel/impi/5.0.3.048/bin64/mpirun -n 16 ./zombie_model zombie_config.props zombie_model.props
 Starting... 
12.02.2016 15:48:20 [0] INFO root TICK BEGINS: 1
12.02.2016 15:48:22 [0] INFO root TICK ENDS: 1
12.02.2016 15:48:22 [0] INFO root TICK BEGINS: 2
12.02.2016 15:48:24 [0] INFO root TICK ENDS: 2
12.02.2016 15:48:24 [0] INFO root TICK BEGINS: 3
12.02.2016 15:48:26 [0] INFO root TICK ENDS: 3
12.02.2016 15:48:26 [0] INFO root TICK BEGINS: 4
12.02.2016 15:48:28 [0] INFO root TICK ENDS: 4
12.02.2016 15:48:28 [0] INFO root TICK BEGINS: 5
12.02.2016 15:48:30 [0] INFO root TICK ENDS: 5
12.02.2016 15:48:30 [0] INFO root TICK BEGINS: 6
12.02.2016 15:48:32 [0] INFO root TICK ENDS: 6
12.02.2016 15:48:32 [0] INFO root TICK BEGINS: 7
12.02.2016 15:48:34 [0] INFO root TICK ENDS: 7
12.02.2016 15:48:34 [0] INFO root TICK BEGINS: 8
12.02.2016 15:48:36 [0] INFO root TICK ENDS: 8
12.02.2016 15:48:36 [0] INFO root TICK BEGINS: 9
12.02.2016 15:48:38 [0] INFO root TICK ENDS: 9
12.02.2016 15:48:39 [0] INFO root TICK BEGINS: 10
12.02.2016 15:48:41 [0] INFO root TICK ENDS: 10
12.02.2016 15:48:41 [0] INFO root TICK BEGINS: 11
12.02.2016 15:48:43 [0] INFO root TICK ENDS: 11
12.02.2016 15:48:43 [0] INFO root TICK BEGINS: 12
12.02.2016 15:48:45 [0] INFO root TICK ENDS: 12
12.02.2016 15:48:45 [0] INFO root TICK BEGINS: 13
12.02.2016 15:48:47 [0] INFO root TICK ENDS: 13
12.02.2016 15:48:47 [0] INFO root TICK BEGINS: 14
12.02.2016 15:48:49 [0] INFO root TICK ENDS: 14
12.02.2016 15:48:49 [0] INFO root TICK BEGINS: 15
12.02.2016 15:48:51 [0] INFO root TICK ENDS: 15
12.02.2016 15:48:52 [0] INFO root TICK BEGINS: 16
12.02.2016 15:48:54 [0] INFO root TICK ENDS: 16
12.02.2016 15:48:54 [0] INFO root TICK BEGINS: 17
12.02.2016 15:48:56 [0] INFO root TICK ENDS: 17
12.02.2016 15:48:56 [0] INFO root TICK BEGINS: 18
12.02.2016 15:48:58 [0] INFO root TICK ENDS: 18
12.02.2016 15:48:58 [0] INFO root TICK BEGINS: 19
12.02.2016 15:49:00 [0] INFO root TICK ENDS: 19
12.02.2016 15:49:01 [0] INFO root TICK BEGINS: 20
12.02.2016 15:49:03 [0] INFO root TICK ENDS: 20
12.02.2016 15:49:03 [0] INFO root TICK BEGINS: 21
12.02.2016 15:49:05 [0] INFO root TICK ENDS: 21
12.02.2016 15:49:05 [0] INFO root TICK BEGINS: 22
12.02.2016 15:49:07 [0] INFO root TICK ENDS: 22
12.02.2016 15:49:07 [0] INFO root TICK BEGINS: 23
12.02.2016 15:49:09 [0] INFO root TICK ENDS: 23
12.02.2016 15:49:09 [0] INFO root TICK BEGINS: 24
12.02.2016 15:49:11 [0] INFO root TICK ENDS: 24
12.02.2016 15:49:11 [0] INFO root TICK BEGINS: 25
12.02.2016 15:49:13 [0] INFO root TICK ENDS: 25
12.02.2016 15:49:14 [0] INFO root TICK BEGINS: 26
12.02.2016 15:49:16 [0] INFO root TICK ENDS: 26
12.02.2016 15:49:16 [0] INFO root TICK BEGINS: 27
12.02.2016 15:49:18 [0] INFO root TICK ENDS: 27
12.02.2016 15:49:18 [0] INFO root TICK BEGINS: 28
12.02.2016 15:49:20 [0] INFO root TICK ENDS: 28
12.02.2016 15:49:20 [0] INFO root TICK BEGINS: 29
12.02.2016 15:49:22 [0] INFO root TICK ENDS: 29
12.02.2016 15:49:22 [0] INFO root TICK BEGINS: 30
12.02.2016 15:49:24 [0] INFO root TICK ENDS: 30
12.02.2016 15:49:25 [0] INFO root TICK BEGINS: 31
12.02.2016 15:49:27 [0] INFO root TICK ENDS: 31
12.02.2016 15:49:27 [0] INFO root TICK BEGINS: 32
12.02.2016 15:49:29 [0] INFO root TICK ENDS: 32
12.02.2016 15:49:29 [0] INFO root TICK BEGINS: 33
12.02.2016 15:49:31 [0] INFO root TICK ENDS: 33
12.02.2016 15:49:31 [0] INFO root TICK BEGINS: 34
12.02.2016 15:49:33 [0] INFO root TICK ENDS: 34
12.02.2016 15:49:33 [0] INFO root TICK BEGINS: 35
12.02.2016 15:49:35 [0] INFO root TICK ENDS: 35
12.02.2016 15:49:35 [0] INFO root TICK BEGINS: 36
12.02.2016 15:49:37 [0] INFO root TICK ENDS: 36
12.02.2016 15:49:37 [0] INFO root TICK BEGINS: 37
12.02.2016 15:49:40 [0] INFO root TICK ENDS: 37
12.02.2016 15:49:40 [0] INFO root TICK BEGINS: 38
12.02.2016 15:49:42 [0] INFO root TICK ENDS: 38
12.02.2016 15:49:42 [0] INFO root TICK BEGINS: 39
12.02.2016 15:49:44 [0] INFO root TICK ENDS: 39
12.02.2016 15:49:44 [0] INFO root TICK BEGINS: 40
12.02.2016 15:49:46 [0] INFO root TICK ENDS: 40
12.02.2016 15:49:46 [0] INFO root TICK BEGINS: 41
12.02.2016 15:49:48 [0] INFO root TICK ENDS: 41
12.02.2016 15:49:48 [0] INFO root TICK BEGINS: 42
12.02.2016 15:49:50 [0] INFO root TICK ENDS: 42
12.02.2016 15:49:50 [0] INFO root TICK BEGINS: 43
12.02.2016 15:49:53 [0] INFO root TICK ENDS: 43
12.02.2016 15:49:53 [0] INFO root TICK BEGINS: 44
12.02.2016 15:49:55 [0] INFO root TICK ENDS: 44
12.02.2016 15:49:55 [0] INFO root TICK BEGINS: 45
12.02.2016 15:49:57 [0] INFO root TICK ENDS: 45
12.02.2016 15:49:57 [0] INFO root TICK BEGINS: 46
12.02.2016 15:49:59 [0] INFO root TICK ENDS: 46
12.02.2016 15:49:59 [0] INFO root TICK BEGINS: 47
12.02.2016 15:50:01 [0] INFO root TICK ENDS: 47
12.02.2016 15:50:01 [0] INFO root TICK BEGINS: 48
12.02.2016 15:50:03 [0] INFO root TICK ENDS: 48
12.02.2016 15:50:03 [0] INFO root TICK BEGINS: 49
12.02.2016 15:50:05 [0] INFO root TICK ENDS: 49
12.02.2016 15:50:06 [0] INFO root TICK BEGINS: 50
12.02.2016 15:50:08 [0] INFO root TICK ENDS: 50
12.02.2016 15:50:08 [0] INFO root TICK BEGINS: 51
12.02.2016 15:50:10 [0] INFO root TICK ENDS: 51
12.02.2016 15:50:10 [0] INFO root TICK BEGINS: 52
12.02.2016 15:50:12 [0] INFO root TICK ENDS: 52
12.02.2016 15:50:12 [0] INFO root TICK BEGINS: 53
12.02.2016 15:50:14 [0] INFO root TICK ENDS: 53
12.02.2016 15:50:14 [0] INFO root TICK BEGINS: 54
12.02.2016 15:50:16 [0] INFO root TICK ENDS: 54
12.02.2016 15:50:16 [0] INFO root TICK BEGINS: 55
12.02.2016 15:50:19 [0] INFO root TICK ENDS: 55
12.02.2016 15:50:19 [0] INFO root TICK BEGINS: 56
12.02.2016 15:50:21 [0] INFO root TICK ENDS: 56
12.02.2016 15:50:21 [0] INFO root TICK BEGINS: 57
12.02.2016 15:50:23 [0] INFO root TICK ENDS: 57
12.02.2016 15:50:23 [0] INFO root TICK BEGINS: 58
12.02.2016 15:50:25 [0] INFO root TICK ENDS: 58
12.02.2016 15:50:25 [0] INFO root TICK BEGINS: 59
12.02.2016 15:50:27 [0] INFO root TICK ENDS: 59
12.02.2016 15:50:28 [0] INFO root TICK BEGINS: 60
12.02.2016 15:50:30 [0] INFO root TICK ENDS: 60
12.02.2016 15:50:30 [0] INFO root TICK BEGINS: 61
12.02.2016 15:50:32 [0] INFO root TICK ENDS: 61
12.02.2016 15:50:32 [0] INFO root TICK BEGINS: 62
12.02.2016 15:50:34 [0] INFO root TICK ENDS: 62
12.02.2016 15:50:34 [0] INFO root TICK BEGINS: 63
12.02.2016 15:50:36 [0] INFO root TICK ENDS: 63
12.02.2016 15:50:36 [0] INFO root TICK BEGINS: 64
12.02.2016 15:50:38 [0] INFO root TICK ENDS: 64
12.02.2016 15:50:38 [0] INFO root TICK BEGINS: 65
12.02.2016 15:50:40 [0] INFO root TICK ENDS: 65
12.02.2016 15:50:41 [0] INFO root TICK BEGINS: 66
12.02.2016 15:50:43 [0] INFO root TICK ENDS: 66
12.02.2016 15:50:43 [0] INFO root TICK BEGINS: 67
12.02.2016 15:50:45 [0] INFO root TICK ENDS: 67
12.02.2016 15:50:45 [0] INFO root TICK BEGINS: 68
12.02.2016 15:50:47 [0] INFO root TICK ENDS: 68
12.02.2016 15:50:47 [0] INFO root TICK BEGINS: 69
12.02.2016 15:50:49 [0] INFO root TICK ENDS: 69
12.02.2016 15:50:49 [0] INFO root TICK BEGINS: 70
12.02.2016 15:50:51 [0] INFO root TICK ENDS: 70
12.02.2016 15:50:51 [0] INFO root TICK BEGINS: 71
12.02.2016 15:50:54 [0] INFO root TICK ENDS: 71
12.02.2016 15:50:54 [0] INFO root TICK BEGINS: 72
