"tick","number_infected"
1.1,269
2.1,490
3.1,611
4.1,766
5.1,927
6.1,1068
7.1,1194
8.1,1309
9.1,1392
10.1,1458
11.1,1509
12.1,1569
13.1,1600
14.1,1642
15.1,1678
16.1,1712
17.1,1750
18.1,1791
19.1,1820
20.1,1847
21.1,1877
22.1,1905
23.1,1929
24.1,1949
25.1,1969
26.1,1986
27.1,2001
28.1,2013
29.1,2027
30.1,2039
31.1,2057
32.1,2069
33.1,2084
34.1,2089
35.1,2104
36.1,2116
37.1,2129
38.1,2138
39.1,2147
40.1,2155
41.1,2165
42.1,2177
43.1,2187
44.1,2201
45.1,2213
46.1,2229
47.1,2241
48.1,2255
49.1,2274
50.1,2284
51.1,2315
52.1,2353
53.1,2383
54.1,2409
55.1,2431
56.1,2452
57.1,2461
58.1,2481
59.1,2499
60.1,2521
61.1,2542
62.1,2572
63.1,2595
64.1,2633
65.1,2670
66.1,2717
67.1,2767
68.1,2814
69.1,2853
70.1,2896
71.1,2937
72.1,2977
73.1,3017
74.1,3051
75.1,3098
76.1,3131
77.1,3168
78.1,3198
79.1,3224
80.1,3258
81.1,3289
82.1,3310
83.1,3334
84.1,3360
85.1,3381
86.1,3408
87.1,3435
88.1,3458
89.1,3480
90.1,3496
91.1,3517
92.1,3542
93.1,3563
94.1,3580
95.1,3589
96.1,3610
97.1,3625
98.1,3634
99.1,3648
