"tick","number_rumored"
1.1,12
2.1,12
3.1,14
4.1,16
5.1,16
6.1,18
7.1,21
8.1,23
9.1,26
10.1,27
11.1,32
12.1,33
13.1,35
14.1,36
15.1,37
16.1,44
17.1,49
18.1,54
19.1,61
20.1,65
21.1,70
22.1,72
23.1,75
24.1,80
25.1,85
26.1,92
27.1,94
28.1,97
29.1,99
30.1,102
31.1,108
32.1,112
33.1,117
34.1,121
35.1,128
36.1,134
37.1,138
38.1,144
39.1,151
40.1,153
41.1,161
42.1,167
43.1,174
44.1,180
45.1,186
46.1,191
47.1,200
48.1,209
49.1,219
50.1,222
51.1,230
52.1,236
53.1,241
54.1,251
55.1,257
56.1,262
57.1,268
58.1,279
59.1,288
60.1,295
61.1,302
62.1,310
63.1,325
64.1,329
65.1,333
66.1,340
67.1,349
68.1,356
69.1,367
70.1,377
71.1,382
72.1,389
73.1,403
74.1,417
75.1,425
76.1,433
77.1,440
78.1,448
79.1,454
80.1,466
81.1,473
82.1,483
83.1,492
84.1,499
85.1,510
86.1,516
87.1,521
88.1,529
89.1,541
90.1,550
91.1,569
92.1,577
93.1,591
94.1,599
95.1,605
96.1,617
97.1,627
98.1,633
99.1,642
100.1,648
101.1,666
102.1,676
103.1,694
104.1,708
105.1,717
106.1,731
107.1,736
108.1,746
109.1,759
110.1,774
111.1,784
112.1,803
113.1,811
114.1,821
115.1,832
116.1,845
117.1,856
118.1,876
119.1,892
120.1,909
121.1,918
122.1,933
123.1,948
124.1,961
125.1,974
126.1,986
127.1,1002
128.1,1015
129.1,1029
130.1,1035
131.1,1049
132.1,1067
133.1,1080
134.1,1098
135.1,1113
136.1,1125
137.1,1141
138.1,1159
139.1,1182
140.1,1193
141.1,1204
142.1,1216
143.1,1231
144.1,1244
145.1,1263
146.1,1275
147.1,1282
148.1,1293
149.1,1306
150.1,1316
151.1,1332
152.1,1345
153.1,1356
154.1,1367
155.1,1380
156.1,1388
157.1,1399
158.1,1409
159.1,1423
160.1,1437
161.1,1448
162.1,1456
163.1,1474
164.1,1485
165.1,1496
166.1,1510
167.1,1537
168.1,1549
169.1,1563
170.1,1578
171.1,1594
172.1,1610
173.1,1630
174.1,1642
175.1,1655
176.1,1670
177.1,1677
178.1,1687
179.1,1701
180.1,1715
181.1,1727
182.1,1748
183.1,1763
184.1,1773
185.1,1796
186.1,1805
187.1,1818
188.1,1835
189.1,1850
190.1,1860
191.1,1869
192.1,1878
193.1,1894
194.1,1910
195.1,1922
196.1,1940
197.1,1948
198.1,1960
199.1,1970
